,Inverse,LU,Determinant
10,1467.0,829.0,838.0
20,11934.0,7310.0,7329.0
30,40267.0,24689.0,24718.0
40,95868.0,60206.0,60245.0
50,186809.0,116099.0,116148.0
60,323534.0,203232.0,203291.0
70,513101.0,320313.0,320382.0
80,767736.0,485866.0,485945.0
90,1091183.0,683899.0,683988.0
100,1498618.0,945174.0,945273.0
110,1993241.0,1252453.0,1252562.0
120,2591068.0,1639852.0,1639971.0
130,3291147.0,2074531.0,2074660.0
140,4113202.0,2597998.0,2598137.0
150,5055927.0,3183539.0,3183688.0
160,6143472.0,3896922.0,3897081.0
170,7360999.0,4640581.0,4640750.0
180,8743366.0,5529120.0,5529299.0
190,10279339.0,6490485.0,6490674.0
200,11997236.0,7601942.0,7602141.0
210,13879287.0,8766801.0,8767010.0
220,15965482.0,10104538.0,10104757.0
230,18235261.0,11517467.0,11517696.0
240,20734136.0,13152160.0,13152399.0
250,23419983.0,14802899.0,14803148.0
260,26355294.0,16695104.0,16695363.0
270,29504587.0,18652959.0,18653228.0
280,32922404.0,20870570.0,20870849.0
290,36561189.0,23133367.0,23133656.0
300,40486854.0,25640422.0,25640721.0
310,44658489.0,28240723.0,28241032.0
320,49150944.0,31198506.0,31198825.0
330,53873531.0,34082015.0,34082344.0
340,58938998.0,37339286.0,37339625.0
350,64280311.0,40682885.0,40683234.0
360,69974732.0,44374928.0,44375287.0
370,75941953.0,48077455.0,48077824.0
380,82289678.0,52158236.0,52158615.0
390,88935367.0,56299801.0,56300190.0
400,95994472.0,60912714.0,60913113.0
410,103332609.0,65416717.0,65417126.0
420,111107574.0,70430394.0,70430813.0
430,119209347.0,75478487.0,75478916.0
440,127762964.0,81042190.0,81042629.0
450,136635427.0,86571709.0,86572158.0
460,145973522.0,92531968.0,92532427.0
470,155669387.0,98572659.0,98573128.0
480,165884272.0,105294912.0,105295391.0
490,176403059.0,111728491.0,111728980.0
500,187464966.0,118858312.0,118858811.0
