,Inverse,LU,Determinant
10,0.0030679702758789062,0.0010824203491210938,0.0009965896606445312
20,0.012053251266479492,0.009951591491699219,0.009966373443603516
30,0.03993511199951172,0.029830217361450195,0.02796626091003418
40,0.09269189834594727,0.06376314163208008,0.0628049373626709
50,0.17618417739868164,0.12757086753845215,0.12749290466308594
60,0.3176765441894531,0.1992640495300293,0.20705747604370117
70,0.48111915588378906,0.30391645431518555,0.3233366012573242
80,0.7682037353515625,0.5057356357574463,0.5918591022491455
90,1.200071096420288,0.7843756675720215,0.728632926940918
100,1.711057186126709,1.080052137374878,1.0449340343475342
110,2.182896852493286,1.3314769268035889,1.3849678039550781
120,2.790173292160034,1.8695318698883057,1.7549223899841309
130,3.563917398452759,2.2614152431488037,2.3693909645080566
140,4.4668803215026855,2.8536579608917236,2.764840841293335
150,5.385128974914551,3.3816680908203125,3.397657871246338
160,6.7060863971710205,4.159797668457031,4.215039253234863
170,7.840021848678589,4.91155219078064,4.978330850601196
180,9.246740102767944,5.943666934967041,5.9832375049591064
190,11.040154933929443,6.930901050567627,7.004279851913452
200,12.66991138458252,8.28291654586792,8.09389877319336
210,14.791459083557129,9.488114595413208,9.368541955947876
220,17.029882192611694,10.707658052444458,10.954560279846191
230,19.46595311164856,12.312841415405273,12.352500915527344
240,22.474417448043823,14.211724042892456,14.280399799346924
250,25.063709020614624,15.975531339645386,15.817838191986084
260,28.580281257629395,17.76731252670288,18.0009663105011
270,32.2646381855011,20.18020462989807,19.87129855155945
280,36.02157807350159,22.85662007331848,22.777559280395508
290,39.40598487854004,25.029449462890625,25.4638614654541
300,44.0651638507843,27.619715690612793,27.851377248764038
310,49.492228269577026,30.169339895248413,30.818501949310303
320,54.46903657913208,34.08743143081665,34.23026728630066
330,58.73304200172424,36.61569666862488,36.48648977279663
340,65.07130789756775,43.99009990692139,41.70939350128174
350,73.63351464271545,44.18392252922058,44.68411445617676
360,79.70478820800781,48.80665445327759,50.391382932662964
370,85.8233904838562,52.43510437011719,53.201547622680664
380,93.46189141273499,57.4195294380188,57.98766589164734
390,99.28033208847046,61.49622559547424,61.980682373046875
400,110.57429957389832,67.54833197593689,68.3954701423645
410,115.85929417610168,71.01011538505554,72.01451086997986
420,124.50958204269409,78.00800514221191,78.8295955657959
430,133.3396430015564,82.29429578781128,90.71165990829468
440,149.26140546798706,89.1314046382904,90.01680207252502
450,154.00527667999268,94.97464346885681,95.86312365531921
460,166.5182695388794,101.6321861743927,103.08242416381836
470,173.56837368011475,109.15443587303162,109.32946562767029
480,187.76304006576538,124.29847884178162,154.7134349346161
490,197.09355354309082,123.52028608322144,123.86608076095581
500,210.0319299697876,134.2041015625,132.1069746017456
