,Iterative,Binet,Strassen,AlphaStrassen,AlphaBinet,IterativeForBinet
2,True,True,True,True,True,True
3,True,True,True,True,True,True
4,True,True,True,True,True,True
5,True,True,True,True,True,True
6,True,True,True,True,,
7,True,True,True,True,,
8,True,True,True,True,,
9,True,True,True,True,,
