,Iterative,Binet,Strassen,AlphaStrassen,AlphaBinet,IterativeForBinet
2,64.0,48.0,198.0,388.0,50176.0,5120.0
3,512.0,448.0,1674.0,2876.0,401408.0,40960.0
4,4096.0,3840.0,12870.0,20772.0,3211264.0,327680.0
5,32768.0,31744.0,94698.0,147964.0,25690112.0,2621440.0
6,262144.0,258048.0,681318.0,1045988.0,,
7,2097152.0,2080768.0,4842954.0,7362876.0,,
8,16777216.0,16711680.0,34195590.0,51703972.0,,
9,134217728.0,133955584.0,240548778.0,362583164.0,,
