,Inverse,LU,Determinant
10,0.004613637924194336,0.0025415420532226562,0.002523660659790039
20,0.018259286880493164,0.01827263832092285,0.014934062957763672
30,0.0587010383605957,0.04011845588684082,0.044119834899902344
40,0.13695096969604492,0.09751200675964355,0.09074807167053223
50,0.2782316207885742,0.17764830589294434,0.18509745597839355
60,0.4632129669189453,0.312349796295166,0.30501699447631836
70,0.7288594245910645,0.4809379577636719,0.5673544406890869
80,1.1103160381317139,0.7359945774078369,0.7133312225341797
90,1.6524858474731445,0.991663932800293,1.347151517868042
100,4.0380425453186035,1.3496639728546143,1.3778049945831299
110,2.7913715839385986,1.8703875541687012,1.799034595489502
120,5.964223146438599,2.3534984588623047,2.439424991607666
130,5.687709093093872,4.359670162200928,3.034681558609009
140,6.761124849319458,5.1136252880096436,3.795950174331665
150,10.549908876419067,4.624664545059204,6.271737098693848
160,9.338175535202026,7.84981632232666,5.737037181854248
170,12.8126859664917,9.029382944107056,6.843318462371826
180,15.017471313476562,10.270764350891113,10.283485412597656
190,17.47190809249878,12.025861978530884,9.812726259231567
200,21.677775144577026,13.323462963104248,13.237896919250488
210,22.400259971618652,14.953567743301392,15.646286725997925
220,27.373671770095825,19.204875707626343,17.000158548355103
230,31.18500065803528,19.06876850128174,21.151103019714355
240,35.068673610687256,23.83496332168579,22.386351108551025
250,40.039262771606445,26.09087610244751,26.000467777252197
260,45.731364727020264,28.735574960708618,28.99579691886902
270,52.421810150146484,31.657379627227783,31.63682985305786
280,57.86661124229431,37.35276412963867,34.91175961494446
290,65.11984372138977,39.94008755683899,38.683669090270996
300,71.65406131744385,44.40061092376709,44.84274172782898
310,78.30369138717651,47.86025905609131,49.83701753616333
320,86.7559027671814,53.77686667442322,53.223917961120605
330,94.89994692802429,58.689804553985596,58.734981298446655
340,103.25487351417542,65.84346032142639,63.482670068740845
350,113.24756026268005,70.79104781150818,70.70400094985962
360,124.62735223770142,76.22751235961914,76.32622647285461
370,134.4797239303589,82.43157577514648,83.67963218688965
380,144.62504363059998,92.186354637146,89.89670538902283
390,156.03103160858154,98.03941607475281,95.86447644233704
400,169.92291903495789,108.07034063339233,105.82277297973633
410,182.063223361969,114.10240435600281,114.23048424720764
420,194.96536087989807,124.2344982624054,123.22215032577515
430,209.14417910575867,131.42024874687195,132.01986718177795
440,227.13287043571472,142.17051458358765,142.2111370563507
450,240.75278973579407,149.99988412857056,152.98401498794556
460,258.1739308834076,160.9154758453369,161.10499024391174
470,275.42269134521484,171.53708004951477,171.20888113975525
480,293.4282932281494,185.36833333969116,185.52510333061218
490,311.7940413951874,203.16427302360535,202.4537115097046
500,342.2574439048767,208.81385111808777,208.02852416038513
